it, E/N =      1     -0.93820032
it, E/N =      2     -1.06306987
it, E/N =      3     -1.09541046
it, E/N =      4     -1.09076847
it, E/N =      5     -1.08118128
it, E/N =      6     -1.07335315
it, E/N =      7     -1.06787145
it, E/N =      8     -1.06421196
it, E/N =      9     -1.06181336
it, E/N =     10     -1.06025373
it, E/N =     11     -1.05924351
it, E/N =     12     -1.05859045
it, E/N =     13     -1.05816872
it, E/N =     14     -1.05789654
it, E/N =     15     -1.05772096
it, E/N =     16     -1.05760772
it, E/N =     17     -1.05753469
it, E/N =     18     -1.05748760
it, E/N =     19     -1.05745723
it, E/N =     20     -1.05743765

 old/new densities up and dn
 iteration =      20
     1    0.608792    0.608769    0.266208    0.266231
     2    0.266208    0.266231    0.608792    0.608769
     3    0.608792    0.608769    0.266208    0.266231
     4    0.266208    0.266231    0.608792    0.608769
     5    0.608792    0.608769    0.266208    0.266231
     6    0.266208    0.266231    0.608792    0.608769
     7    0.266208    0.266231    0.608792    0.608769
     8    0.608792    0.608769    0.266208    0.266231
     9    0.266208    0.266231    0.608792    0.608769
    10    0.608792    0.608769    0.266208    0.266231
    11    0.266208    0.266231    0.608792    0.608769
    12    0.608792    0.608769    0.266208    0.266231
    13    0.608792    0.608769    0.266208    0.266231
    14    0.266208    0.266231    0.608792    0.608769
    15    0.608792    0.608769    0.266208    0.266231
    16    0.266208    0.266231    0.608792    0.608769
    17    0.608792    0.608769    0.266208    0.266231
    18    0.266208    0.266231    0.608792    0.608769
    19    0.266208    0.266231    0.608792    0.608769
    20    0.608792    0.608769    0.266208    0.266231
    21    0.266208    0.266231    0.608792    0.608769
    22    0.608792    0.608769    0.266208    0.266231
    23    0.266208    0.266231    0.608792    0.608769
    24    0.608792    0.608769    0.266208    0.266231
    25    0.608792    0.608769    0.266208    0.266231
    26    0.266208    0.266231    0.608792    0.608769
    27    0.608792    0.608769    0.266208    0.266231
    28    0.266208    0.266231    0.608792    0.608769
    29    0.608792    0.608769    0.266208    0.266231
    30    0.266208    0.266231    0.608792    0.608769
    31    0.266208    0.266231    0.608792    0.608769
    32    0.608792    0.608769    0.266208    0.266231
